pid,pid_hex,name,description,formula,unit,min_value,max_value,ecu_header,service,manufacturer,vehicle_model,category,data_source,confidence
D2,01D2,HV HV Battery Current,HV HV Battery Current,(SIGNED(A)*256+B)*(2),A,-100.0,100.0,8416F1,01,Toyota,Toyota_Prius_Gen1,hv_battery,torque_csv,community
D1,01D1,HV HV Battery Voltage,HV HV Battery Voltage,(A)*(2),V,200.0,400.0,8416F1,01,Toyota,Toyota_Prius_Gen1,hv_battery,torque_csv,community
AA,01AA,HV INFO. Code 1,HV INFO. Code 1,(256*A+B),,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
B1,01B1,HV INFO. Code 2,HV INFO. Code 2,(256*A+B),,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
B7,01B7,HV INFO. Code 3,HV INFO. Code 3,(256*A+B),,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
BD,01BD,HV INFO. Code 4,HV INFO. Code 4,(256*A+B),,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
DF,01DF,HV INFO. Code 5,HV INFO. Code 5,(256*A+B),,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
0F,010F,HV Intake Air Temperature,HV Intake Air Temperature,(A)+(-40),°C,-40.0,215.0,8416F1,01,Toyota,Toyota_Prius_Gen1,engine,torque_csv,community
C8,01C8,HV Master Cylinder Control Torque,HV Master Cylinder Control Torque,(SIGNED(A)*256+B)*(4),Nm,-131072.0,131068.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
CD,01CD,HV MG1 Inverter Temperature,HV MG1 Inverter Temperature,(A)+(-50),°C,-50.0,205.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
C4,01C4,HV MG1 RPM,HV MG1 RPM,(SIGNED(A)*256+B),rpm,-10000.0,10000.0,8416F1,01,Toyota,Toyota_Prius_Gen1,engine,torque_csv,community
CE,01CE,HV MG1 Temperature,HV MG1 Temperature,(A)+(-50),°C,-50.0,205.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
C2,01C2,HV MG2 RPM,HV MG2 RPM,(SIGNED(A)*256+B),rpm,-10000.0,10000.0,8416F1,01,Toyota,Toyota_Prius_Gen1,engine,torque_csv,community
CF,01CF,HV Motor Current V,HV Motor Current V,(SIGNED(A)*256+B),A,-100.0,100.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
C3,01C3,HV Regen Brake Execution Torque,HV Regen Brake Execution Torque,(A),Nm,0.0,255.0,8416F1,01,Toyota,Toyota_Prius_Gen1,emission,torque_csv,community
C5,01C5,HV Request Engine Power,HV Request Engine Power,(256*A+B),daW,0.0,65535.0,8416F1,01,Toyota,Toyota_Prius_Gen1,engine,torque_csv,community
D4,01D4,HV Shift Sensor 1 (position),HV Shift Sensor 1 (position),(A),,0.0,255.0,8416F1,01,Toyota,Toyota_Prius_Gen1,transmission,torque_csv,community
D3,01D3,HV Shift Sensor 2,HV Shift Sensor 2,(256*A+B)/(50),V,0.0,6.0,8416F1,01,Toyota,Toyota_Prius_Gen1,transmission,torque_csv,community
C9,01C9,HV State-of-Charge,HV State-of-Charge,(A)*(100)/(255),%,0.0,100.0,8416F1,01,Toyota,Toyota_Prius_Gen1,hv_battery,torque_csv,community
C6,01C6,HV Target Engine Revolution,HV Target Engine Revolution,(256*A+B),rpm,0.0,7000.0,8416F1,01,Toyota,Toyota_Prius_Gen1,engine,torque_csv,community
0D,010D,HV Vehicle Speed,HV Vehicle Speed,(A),km/h,0.0,255.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
D7,01D7,HV Vehicle Speed (Similar to KPH),HV Vehicle Speed (Similar to KPH),(A)*(2),km/h,0.0,510.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
CA,01CA,HV WIN Control Power,HV WIN Control Power,(B)*(8)/(5)+(-408),hW,-408.0,0.0,8416F1,01,Toyota,Toyota_Prius_Gen1,general,torque_csv,community
2813,2813,Actual Boost Pressure,Turbocharger actual boost pressure (kPa),(A*256+B)*0.0078125,kPa,0,255,7E0,22,Ford,,engine,curated_expert,high
1E16,1E16,DPF Soot Load,Diesel Particulate Filter soot loading (grams),(A*256+B)*0.01,g,0,100,7E0,22,Ford,,emission,curated_expert,high
1E1A,1E1A,DPF Differential Pressure,Pressure difference across the DPF (kPa),(A*256+B)*0.01,kPa,0,50,7E0,22,Ford,,emission,curated_expert,high
1E23,1E23,DPF Regeneration Status,DPF active regeneration status flag,A,flag,0,1,7E0,22,Ford,,emission,curated_expert,high
4028,4028,Battery SoC (IPC),12V battery state of charge shown on instrument panel,A,%,0,100,7E0,22,Ford,,electrical,curated_expert,high
DD01,DD01,Oil Life Remaining,Engine oil life remaining percentage,A*100/255,%,0,100,7E0,22,Ford,,maintenance,curated_expert,high
0104,0104,Intake Air Temperature 2,Secondary intake air temperature sensor,A-40,°C,-40,215,7E0,22,GM,,engine,curated_expert,high
1940,1940,Transmission Fluid Temperature,Automatic transmission fluid temperature,A-40,°C,-40,215,7E1,22,GM,,transmission,curated_expert,high
0176,0176,Ethanol Fuel Percentage,Flex-fuel ethanol content sensor reading,A*100/255,%,0,100,7E0,22,GM,,fuel,curated_expert,high
124D,124D,AC Refrigerant Pressure,A/C high-side refrigerant pressure,(A*256+B)*0.001,bar,0,40,7E0,22,GM,,hvac,curated_expert,high
7CE1,7CE1,HV Battery SoC,High-voltage battery state of charge,A*100/255,%,0,100,7E3,22,Toyota,,hv_battery,curated_expert,high
7CE4,7CE4,HV Battery Temperature,High-voltage battery pack temperature,A-40,°C,-40,80,7E3,22,Toyota,,hv_battery,curated_expert,high
